state,statehouse_district_number,full_name,first,middle,surname,suffix,party_code,incumbent_status,withdrew_status,disqualified_status,notes,district_name,county_name,county,count,predicted_gender,gender_prob,party,pred.whi,pred.bla,pred.his,pred.asi,pred.oth,avg_white,avg_black,avg_his,avg_asi,avg_other,predicted_race,race_binary
NV,1,Garland Brinkley,Garland,NA,Brinkley,NA,100,0,0,0,NA,State House District 1,Clark,003,762,male,0.91,1,0.33602415280047065,0.5583788151951253,0.008006624950640162,0.0012716110806682303,0.09631879597309559,0.33602415280047065,0.5583788151951253,0.008006624950640162,0.0012716110806682303,0.09631879597309559,Black,Non-White
NV,1,Daniele Monroe-Moreno,Daniele,NA,Monroe-Moreno,NA,200,1,0,0,NA,State House District 1,Clark,003,226214,male,0.92,2,0.19939125039437908,0.2938282799109426,0.15660576660299477,0.012233782454203151,0.3379409206374804,0.19939125039437908,0.2938282799109426,0.15660576660299477,0.012233782454203151,0.3379409206374804,Other,Non-White
NV,2,Heidi Kasama,Heidi,NA,Kasama,NA,100,1,0,0,NA,State House District 2,Clark,003,184989,female,1,1,0.35142808283320764,0.05072388712564464,0.4010112172510591,0.05178811626726792,0.14504869652282068,0.35142808283320764,0.05072388712564464,0.4010112172510591,0.05178811626726792,0.14504869652282068,Hispanic,Non-White
NV,2,Ron Nelsen,Ron,NA,Nelsen,NA,200,0,0,0,NA,State House District 2,Clark,003,314252,male,0.99,2,0.5921955377097824,0.02621786416731088,0.04317452112762993,0.08935215968902582,0.24905991730625107,0.5921955377097824,0.02621786416731088,0.04317452112762993,0.08935215968902582,0.24905991730625107,White,White
NV,3,"Maximillian ""Millian"" Quinteros",Maximillian,Millian,Quinteros,NA,300,0,1,0,Libertarian Party,State House District 3,Clark,003,2131,male,0.99,0,0.001779429727671105,5.166795545174417e-4,0.9954139561885406,0,0.0022899345292708814,0.001779429727671105,5.166795545174417e-4,0.9954139561885406,0,0.0022899345292708814,Hispanic,Non-White
NV,3,Michele Rizza,Michele,NA,Rizza,NA,100,0,0,0,NA,State House District 3,Clark,003,544350,female,0.54,1,0.7382393365900657,0.001332379250721722,0.1347407732347621,0.03731941947823351,0.08836809144621698,0.7382393365900657,0.001332379250721722,0.1347407732347621,0.03731941947823351,0.08836809144621698,White,White
NV,3,Selena Elizabeth Torres,Selena,Elizabeth,Torres,NA,200,1,0,0,NA,State House District 3,Clark,003,39788,female,0.99,2,0.019607004684922335,0.001882758070315728,0.9639953448758657,0.004203496240134347,0.010311396128761948,0.019607004684922335,0.001882758070315728,0.9639953448758657,0.004203496240134347,0.010311396128761948,Hispanic,Non-White
NV,4,Lisa Cole,Lisa,NA,Cole,NA,100,0,0,0,NA,State House District 4,Clark,003,990101,female,1,1,0.526782011883425,0.2319471442344275,0.061717109787655905,0.028468902250681827,0.15108483184380972,0.526782011883425,0.2319471442344275,0.061717109787655905,0.028468902250681827,0.15108483184380972,White,White
NV,4,Ryan Hampton,Ryan,NA,Hampton,NA,200,0,0,0,NA,State House District 4,Clark,003,645787,male,0.99,2,0.345190558562219,0.33224510856820233,0.061594080981821224,0.023767586764294628,0.23720266512346286,0.345190558562219,0.33224510856820233,0.061594080981821224,0.023767586764294628,0.23720266512346286,White,White
NV,5,Alan Bigelow,Alan,NA,Bigelow,NA,100,0,0,0,NA,State House District 5,Clark,003,513691,male,1,1,0.6236073974022691,0.046186234168898166,0.10789543932398792,0.05963804781777129,0.1626728812870735,0.6236073974022691,0.046186234168898166,0.10789543932398792,0.05963804781777129,0.1626728812870735,White,White
NV,5,Kelly Quinn,Kelly,NA,Quinn,NA,100,0,0,0,NA,State House District 5,Clark,003,194757,female,0.91,1,0.7220292250476301,0.04907872349106966,0.08593031180325925,0.035304124937436704,0.10765761472060417,0.7220292250476301,0.04907872349106966,0.08593031180325925,0.035304124937436704,0.10765761472060417,White,White
NV,5,Brittney M. Miller,Brittney,M.,Miller,NA,200,1,0,0,NA,State House District 5,Clark,003,37614,female,1,2,0.6573429824336464,0.24527215512975106,0.015575989023081575,0.0016332404238580676,0.08017563298966285,0.6573429824336464,0.24527215512975106,0.015575989023081575,0.0016332404238580676,0.08017563298966285,White,White
NV,5,Ronald Morgan,Ronald,NA,Morgan,NA,300,0,0,0,Libertarian Party,State House District 5,Clark,003,311164,male,1,0,0.4858726495754124,0.2935302468537655,0.05113295339144836,0.010830394868689223,0.15863375531068455,0.4858726495754124,0.2935302468537655,0.05113295339144836,0.010830394868689223,0.15863375531068455,White,White
NV,6,Jovan Alexander Jackson,Jovan,Alexander,Jackson,NA,200,0,0,0,NA,State House District 6,Clark,003,8178,male,0.97,2,0.015151694856491111,0.7923194209983059,0.062474178603608176,3.585028505993412e-4,0.12969620269099555,0.015151694856491111,0.7923194209983059,0.062474178603608176,3.585028505993412e-4,0.12969620269099555,Black,Non-White
NV,6,"Derek A. ""Bish"" Rimson",Derek,"A ""Bish""",Rimson,NA,200,0,0,0,NA,State House District 6,Clark,003,188366,male,1,2,0.15471844316449126,0.812457694241622,0.007143242221259914,0,0.025680620372626847,0.15471844316449126,0.812457694241622,0.007143242221259914,0,0.025680620372626847,Black,Non-White
NV,6,Geraldine Lewis,Geraldine,NA,Lewis,NA,100,0,1,0,NA,State House District 6,Clark,003,88248,female,0.99,1,0.16008040378480468,0.695554663319566,0.03911051410243981,0.013997190397054951,0.0912572283961346,0.16008040378480468,0.695554663319566,0.03911051410243981,0.013997190397054951,0.0912572283961346,Black,Non-White
NV,6,"Nephi ""Khaliki"" Oliva",Nephi,Khaliki,Oliva,NA,100,0,0,0,NA,State House District 6,Clark,003,379,male,0.98,1,0.0168145449064508,0.0014235202320621596,0.7579824006681276,0,0.2237795341933594,0.0168145449064508,0.0014235202320621596,0.7579824006681276,0,0.2237795341933594,Hispanic,Non-White
NV,6,"Walter ""Boo"" Jones III",Walter,Boo,Jones,III,300,0,0,0,No Political Party,State House District 6,Clark,003,348479,male,1,0,0.4274497426656955,0.2532805207789672,0.037221117389618114,0.06823224329504586,0.2138163758706734,0.4274497426656955,0.2532805207789672,0.037221117389618114,0.06823224329504586,0.2138163758706734,White,White
NV,7,James M. Fennell,James,M.,Fennell,NA,200,0,0,0,NA,State House District 7,Clark,003,1458986,male,1,2,0.7193406223962079,0.23431685051082823,0.005117627530226478,0.0015637167400619444,0.03966118282267551,0.7193406223962079,0.23431685051082823,0.005117627530226478,0.0015637167400619444,0.03966118282267551,White,White
