state,statehouse_district_number,total_candidates,pct_white,pct_nonwhite,pct_female,pct_male,count_white,count_nonwhite,count_female,count_male
GA,1,2,1,0,0,1,2,0,0,2
GA,2,1,1,0,0,1,1,0,0,1
GA,3,1,1,0,0,1,1,0,0,1
GA,4,1,1,0,1,0,1,0,1,0
GA,5,1,1,0,0,1,1,0,0,1
GA,6,2,1,0,0.5,0.5,2,0,1,1
GA,7,1,1,0,0,1,1,0,0,1
GA,8,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
GA,9,1,1,0,0,1,1,0,0,1
GA,10,2,1,0,0.5,0.5,2,0,1,1
GA,11,2,1,0,0.5,0.5,2,0,1,1
GA,12,2,0.5,0.5,0,1,1,1,0,2
GA,13,2,1,0,0.5,0.5,2,0,1,1
GA,14,1,1,0,0,1,1,0,0,1
GA,15,1,1,0,0,1,1,0,0,1
GA,16,1,1,0,0,1,1,0,0,1
GA,17,1,1,0,0,1,1,0,0,1
GA,18,1,1,0,0,1,1,0,0,1
GA,19,2,1,0,0,1,2,0,0,2
GA,20,1,0,1,1,0,0,1,1,0
GA,21,3,1,0,0,1,3,0,0,3
GA,22,3,1,0,0,1,3,0,0,3
GA,23,1,1,0,1,0,1,0,1,0
GA,24,2,1,0,0.5,0.5,2,0,1,1
GA,25,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
GA,26,2,0.5,0.5,1,0,1,1,2,0
GA,27,1,1,0,0,1,1,0,0,1
GA,28,2,1,0,0,1,2,0,0,2
GA,29,1,1,0,0,1,1,0,0,1
GA,30,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,1,2,1
GA,31,1,1,0,0,1,1,0,0,1
GA,32,1,1,0,0,1,1,0,0,1
GA,33,1,1,0,0,1,1,0,0,1
GA,34,2,0.5,0.5,0,1,1,1,0,2
GA,35,2,1,0,0.5,0.5,2,0,1,1
GA,36,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
GA,37,2,0.5,0.5,1,0,1,1,2,0
