state,statehouse_district_number,full_name,first_name,middle_name,last_name,suffix,party_code,notes,district_name,county_name,county_fips,count,predicted_gender,gender_prob
NV,1,Daniele Monroe-Moreno,Daniele,NA,Monroe-Moreno,NA,200,NA,State House District 1,Clark,003,226214,male,0.92
NV,2,Heidi Kasama,Heidi,NA,Kasama,NA,100,NA,State House District 2,Clark,003,184989,female,1
NV,3,Selena Torres,Selena,NA,Torres,NA,200,NA,State House District 3,Clark,003,39788,female,0.99
NV,4,Richard McArthur,Richard,NA,McArthur,NA,100,NA,State House District 4,Clark,003,1163098,male,1
NV,5,Brittney Miller,Brittney,NA,Miller,NA,200,NA,State House District 5,Clark,003,37614,female,1
NV,6,Shondra Summers-Armstrong,Shondra,NA,Summers-Armstrong,NA,200,NA,State House District 6,Clark,003,706,female,1
NV,7,Cameron Miller,Cameron,NA,Miller,NA,200,NA,State House District 7,Clark,003,35922,male,0.94
NV,8,Duy Nguyen,Duy,NA,Nguyen,NA,200,NA,State House District 8,Clark,003,10899,male,0.99
NV,9,Steve Yeager,Steve,NA,Yeager,NA,200,NA,State House District 9,Clark,003,864950,male,1
NV,10,Rochelle Nguyen,Rochelle,NA,Nguyen,NA,200,"resigned on December 21, 2022",State House District 10,Clark,003,40849,female,1
NV,11,Bea Duran,Bea,NA,Duran,NA,200,NA,State House District 11,Clark,003,72535,female,0.99
NV,12,Max Carter,Max,NA,Carter,NA,200,NA,State House District 12,Clark,003,403428,male,0.99
NV,13,Brian Hibbetts,Brian,NA,Hibbetts,NA,100,NA,State House District 13,Clark,003,860237,male,1
NV,14,Erica Mosca,Erica,NA,Mosca,NA,200,NA,State House District 14,Clark,003,243089,female,1
NV,15,Howard Watts,Howard,NA,Watts,NA,200,NA,State House District 15,Clark,003,87023,male,1
NV,16,Cecelia González,Cecelia,NA,González,NA,200,NA,State House District 16,Clark,003,11356,female,1
NV,17,Clara (Claire) Thomas,Clara,(Claire),Thomas,NA,200,NA,State House District 17,Clark,003,247083,female,0.99
NV,18,Venicia Considine,Venicia,NA,Considine,NA,200,NA,State House District 18,Clark,003,403,female,0.99
NV,19,Toby Yurek,Toby,NA,Yurek,NA,100,NA,State House District 19,Clark,003,16965,male,0.91
NV,20,David Orentlicher,David,NA,Orentlicher,NA,200,NA,State House District 20,Clark,003,3489607,male,1
NV,21,Elaine Marzola,Elaine,NA,Marzola,NA,200,NA,State House District 21,Clark,003,248452,female,1
NV,22,Melissa Hardy,Melissa,NA,Hardy,NA,100,NA,State House District 22,Clark,003,645010,female,1
NV,23,Danielle Gallant,Danielle,NA,Gallant,NA,100,NA,State House District 23,Clark,003,372354,female,1
NV,24,Sarah Peters,Sarah,NA,Peters,NA,200,NA,State House District 24,Washoe,031,1283097,female,0.99
NV,25,Selena La Rue Hatch,Selena,La Rue,Hatch,NA,200,NA,State House District 25,Washoe,031,39788,female,0.99
NV,26,Rich DeLong,Rich,NA,DeLong,NA,100,NA,State House District 26,Washoe,031,114319,male,0.99
NV,27,Angie Taylor,Angie,NA,Taylor,NA,200,NA,State House District 27,Washoe,031,252525,female,0.99
NV,28,Reuben D'Silva,Reuben,NA,D'Silva,NA,200,NA,State House District 28,Clark,003,24254,male,0.99
NV,29,Lesley E Cohen,Lesley,E,Cohen,NA,200,NA,State House District 29,Clark,003,29807,female,0.88
NV,30,Natha Anderson,Natha,NA,Anderson,NA,200,NA,State House District 30,Washoe,031,1879,female,0.76
NV,31,Jill Dickman,Jill,NA,Dickman,NA,100,NA,State House District 31,Washoe,031,183633,female,1
NV,32,Alexis Hansen,Alexis,NA,Hansen,NA,100,NA,State House District 32,Humboldt,013,187474,male,0.85
NV,33,Bert Gurr,Bert,NA,Gurr,NA,100,NA,State House District 33,Elko,007,76503,male,0.99
NV,34,Shannon Bilbray-Aexlrod,Shannon,NA,Bilbray-Aexlrod,NA,200,NA,State House District 34,Clark,003,52052,female,0.9
NV,35,Michelle Gorelow,Michelle,NA,Gorelow,NA,200,NA,State House District 35,Clark,003,904069,female,1
NV,36,Gregory Hafen,Gregory,NA,Hafen,NA,100,NA,State House District 36,Clark,003,204650,male,1
NV,37,Shea Backus,Shea,NA,Backus,NA,200,NA,State House District 37,Clark,003,2926,female,0.53
NV,38,Gregory Koenig,Gregory,NA,Koenig,NA,100,NA,State House District 38,Churchill,001,204650,male,1
NV,39,Ken Gray,Ken,NA,Gray,NA,100,NA,State House District 39,Douglas,005,337251,male,0.99
NV,40,Philip O'Neill,Philip,NA,O'Neill,NA,100,NA,State House District 40,Storey,029,259670,male,1
NV,41,Sandra Jauregui,Sandra,NA,Jauregui,NA,200,NA,State House District 41,Clark,003,1411970,female,0.99
NV,42,Tracy Brown-May,Tracy,NA,Brown-May,NA,200,NA,State House District 42,Clark,003,71343,female,0.94
MI,1,Tyrone Carter,Tyrone,NA,Carter,NA,200,NA,State House District 1,Wayne,163,33670,male,1
MI,2,Tullio Liberati Jr.,Tullio,NA,Liberati,Jr.,200,NA,State House District 2,Wayne,163,5994,male,0.99
MI,3,Alabas Farhat,Alabas,NA,Farhat,NA,200,NA,State House District 3,Wayne,163,68,male,0.88
MI,4,Karen Whitsett,Karen,NA,Whitsett,NA,200,NA,State House District 4,Wayne,163,967037,female,0.99
MI,5,Natalie Price,Natalie,NA,Price,NA,200,NA,State House District 5,Oakland,125,282584,female,1
MI,6,Regina Weiss,Regina,NA,Weiss,NA,200,NA,State House District 6,Oakland,125,206407,female,0.99
MI,7,Helena Scott,Helena,NA,Scott,NA,200,NA,State House District 7,Wayne,163,209954,female,0.99
MI,8,Mike McFall,Mike,NA,McFall,NA,200,NA,State House District 8,Wayne,163,1145946,male,1
MI,9,Abraham Aiyash,Abraham,NA,Aiyash,NA,200,NA,State House District 9,Wayne,163,135569,male,0.99
MI,10,Joseph Tate,Joseph,NA,Tate,NA,200,NA,State House District 10,Wayne,163,790654,male,0.99
MI,11,Veronica Paiz,Veronica,NA,Paiz,NA,200,NA,State House District 11,Macomb,099,485708,female,1
MI,12,Kimberly Edwards,Kimberly,NA,Edwards,NA,200,NA,State House District 12,Macomb,099,311636,female,1
MI,13,Lori Stone,Lori,NA,Stone,NA,200,"ended term November 13, 2023",State House District 13,Macomb,099,212294,female,0.99
MI,14,Donavan McKinney,Donavan,NA,McKinney,NA,200,NA,State House District 14,Macomb,099,3314,male,0.99
MI,15,Erin Byrnes,Erin,NA,Byrnes,NA,200,NA,State House District 15,Wayne,163,216130,female,0.99
MI,16,Stephanie A. Young,Stephanie,A.,Young,NA,200,NA,State House District 16,Wayne,163,685051,female,1
MI,17,Laurie Pohutsky,Laurie,NA,Pohutsky,NA,200,NA,State House District 17,Wayne,163,143476,female,0.99
MI,18,Jason Hoskins,Jason,NA,Hoskins,NA,200,NA,State House District 18,Oakland,125,786241,male,1
MI,19,Samantha Steckloff,Samantha,NA,Steckloff,NA,200,NA,State House District 19,Oakland,125,416919,female,0.99
MI,20,Noah Arbit,Noah,NA,Arbit,NA,200,NA,State House District 20,Oakland,125,77852,male,0.97
MI,21,Kelly Breen,Kelly,NA,Breen,NA,200,NA,State House District 21,Oakland,125,194757,female,0.91
MI,22,Matt Koleszar,Matt,NA,Koleszar,NA,200,NA,State House District 22,Wayne,163,484010,male,1
MI,23,Jason Morgan,Jason,NA,Morgan,NA,200,NA,State House District 23,Washtenaw,161,786241,male,1
MI,24,Ranjeev Puri,Ranjeev,NA,Puri,NA,200,NA,State House District 24,Wayne,163,159,male,0.99
MI,25,Kevin Coleman,Kevin,NA,Coleman,NA,200,"ended term November 14, 2023",State House District 25,Wayne,163,1257153,male,1
MI,26,Dylan Wegela,Dylan,NA,Wegela,NA,200,NA,State House District 26,Wayne,163,188158,male,0.99
MI,27,Jaime Churches,Jaime,NA,Churches,NA,200,NA,State House District 27,Wayne,163,202646,male,0.96
MI,28,Jamie Thompson,Jamie,NA,Thompson,NA,100,NA,State House District 28,Monroe,115,107043,male,0.66
MI,29,James DeSana,James,NA,DeSana,NA,100,NA,State House District 29,Wayne,163,1458986,male,1
MI,30,William Bruck,William,NA,Bruck,NA,100,NA,State House District 30,Monroe,115,915825,male,1
MI,31,Reggie Miller,Reggie,NA,Miller,NA,200,NA,State House District 31,Monroe,115,8303,male,0.93
MI,32,Jimmie Wilson Jr.,Jimmie,NA,Wilson,Jr.,200,NA,State House District 32,Washtenaw,161,4049,male,0.92
MI,33,Felicia Brabec,Felicia,NA,Brabec,NA,200,NA,State House District 33,Washtenaw,161,90959,female,0.99
MI,34,Dale Zorn,Dale,NA,Zorn,NA,100,NA,State House District 34,Lenawee,091,30591,male,0.93
MI,35,Andrew Fink,Andrew,NA,Fink,NA,100,NA,State House District 35,Hillsdale,059,907988,male,1
MI,36,Steve Carra,Steve,NA,Carra,NA,100,NA,State House District 36,St. Joseph,149,864950,male,1
MI,37,Brad Paquette,Brad,NA,Paquette,NA,100,NA,State House District 37,Berrien,021,195732,male,1
MI,38,Joey Andrews,Joey,NA,Andrews,NA,200,NA,State House District 38,Berrien,021,59100,male,0.8
MI,39,Pauline Wendzel,Pauline,NA,Wendzel,NA,100,NA,State House District 39,Van Buren,159,236053,female,0.99
MI,40,Christine Morse,Christine,NA,Morse,NA,200,NA,State House District 40,Kalamazoo,077,668012,female,1
MI,41,Julie Rogers,Julie,NA,Rogers,NA,200,NA,State House District 41,Kalamazoo,077,754260,female,0.99
MI,42,Matt Hall,Matt,NA,Hall,NA,100,NA,State House District 42,Kalamazoo,077,484010,male,1
MI,43,Rachelle Smit,Rachelle,NA,Smit,NA,100,NA,State House District 43,Allegan,005,42027,female,0.99
MI,44,Jim Haadsma,Jim,NA,Haadsma,NA,200,NA,State House District 44,Calhoun,025,607340,male,1
MI,45,Sarah Lightner,Sarah,NA,Lightner,NA,100,NA,State House District 45,Calhoun,025,1283097,female,0.99
MI,46,Kathy Schmaltz,Kathy,NA,Schmaltz,NA,100,NA,State House District 46,Jackson,075,369756,female,1
MI,47,Carrie Rheingans,Carrie,NA,Rheingans,NA,200,NA,State House District 47,Washtenaw,161,120191,female,1
MI,48,Jennifer Conlin,Jennifer,NA,Conlin,NA,200,NA,State House District 48,Washtenaw,161,1101898,female,1
MI,49,Ann Bollin,Ann,NA,Bollin,NA,100,NA,State House District 49,Livingston,093,362757,female,0.99
MI,50,Robert Bezotte,Robert,NA,Bezotte,NA,100,NA,State House District 50,Livingston,093,1566661,male,1
MI,51,Matt Maddock,Matt,NA,Maddock,NA,100,NA,State House District 51,Oakland,125,484010,male,1
MI,52,Mike Harris,Mike,NA,Harris,NA,100,NA,State House District 52,Oakland,125,1145946,male,1
MI,53,Brenda Carter,Brenda,NA,Carter,NA,200,NA,State House District 53,Oakland,125,415320,female,1
MI,54,Donni Steele,Donni,NA,Steele,NA,100,NA,State House District 54,Oakland,125,449,male,0.83
MI,55,Mark Tisdel,Mark,NA,Tisdel,NA,100,NA,State House District 55,Oakland,125,1378167,male,1
MI,56,Sharon MacDonell,Sharon,NA,MacDonell,NA,200,NA,State House District 56,Oakland,125,489621,female,0.99
MI,57,Tom Kuhn,Tom,NA,Kuhn,NA,100,NA,State House District 57,Macomb,099,841896,male,0.99
MI,58,Nate Shannon,Nate,NA,Shannon,NA,200,NA,State House District 58,Macomb,099,20333,male,0.97
MI,59,Douglas Wozniak,Douglas,NA,Wozniak,NA,100,NA,State House District 59,Macomb,099,226153,male,1
MI,60,Joseph Aragona,Joseph,NA,Aragona,NA,100,NA,State House District 60,Macomb,099,790654,male,0.99
