state,statehouse_district_number,total_candidates,pct_white,pct_nonwhite,pct_female,pct_male,count_white,count_nonwhite,count_female,count_male
GA,1,1,1,0,0,1,1,0,0,1
GA,6,1,1,0,1,0,1,0,1,0
GA,8,2,1,0,0.5,0.5,2,0,1,1
GA,10,1,1,0,1,0,1,0,1,0
GA,11,1,1,0,1,0,1,0,1,0
GA,12,1,1,0,0,1,1,0,0,1
GA,13,1,1,0,0,1,1,0,0,1
GA,19,1,1,0,0,1,1,0,0,1
GA,21,2,1,0,0,1,2,0,0,2
GA,22,2,1,0,0,1,2,0,0,2
GA,24,1,1,0,1,0,1,0,1,0
GA,25,2,1,0,0.5,0.5,2,0,1,1
GA,26,1,0,1,1,0,0,1,1,0
GA,28,1,1,0,0,1,1,0,0,1
GA,30,2,1,0,1,0,2,0,2,0
GA,34,1,0,1,0,1,0,1,0,1
GA,35,1,1,0,0,1,1,0,0,1
GA,36,2,1,0,0,1,2,0,0,2
GA,37,1,0,1,1,0,0,1,1,0
GA,38,1,0,1,1,0,0,1,1,0
GA,40,2,0.5,0.5,0.5,0.5,1,1,1,1
GA,41,1,0,1,1,0,0,1,1,0
GA,42,2,0,1,0.5,0.5,0,2,1,1
GA,44,1,0,1,1,0,0,1,1,0
GA,45,1,0,1,0,1,0,1,0,1
GA,46,1,0,1,0,1,0,1,0,1
GA,47,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,1,2,1
GA,48,1,0,1,1,0,0,1,1,0
GA,49,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,2,1,2
GA,50,1,0,1,0,1,0,1,0,1
GA,51,1,1,0,0,1,1,0,0,1
GA,52,1,1,0,0,1,1,0,0,1
GA,53,1,1,0,1,0,1,0,1,0
GA,54,1,0,1,1,0,0,1,1,0
GA,55,1,0,1,0,1,0,1,0,1
GA,56,5,0,1,0.4,0.6,0,5,2,3
GA,57,1,1,0,1,0,1,0,1,0
GA,59,1,0,1,0,1,0,1,0,1
GA,60,2,1,0,1,0,2,0,2,0
GA,61,2,0,1,0.5,0,0,2,1,0
GA,64,2,0,1,1,0,0,2,2,0
GA,65,4,0,1,0.25,0.75,0,4,1,3
GA,67,2,1,0,0,1,2,0,0,2
GA,69,4,0.25,0.75,0.25,0.75,1,3,1,3
GA,70,1,1,0,1,0,1,0,1,0
GA,71,3,0.3333333333333333,0.6666666666666666,0,1,1,2,0,3
GA,72,1,1,0,0,1,1,0,0,1
GA,73,2,1,0,0,1,2,0,0,2
GA,74,2,0,1,0.5,0.5,0,2,1,1
GA,75,1,0,1,0,1,0,1,0,1
GA,80,1,0,1,0,1,0,1,0,1
GA,81,2,0,1,0.5,0.5,0,2,1,1
GA,82,1,0,1,0,1,0,1,0,1
GA,83,1,0,1,1,0,0,1,1,0
GA,84,1,1,0,0,1,1,0,0,1
GA,86,1,0,1,0,1,0,1,0,1
GA,88,1,1,0,0,1,1,0,0,1
GA,91,2,0,1,0.5,0.5,0,2,1,1
GA,96,3,0,1,1,0,0,3,3,0
GA,97,1,1,0,0,1,1,0,0,1
GA,98,1,0,1,0,1,0,1,0,1
GA,99,1,0,1,1,0,0,1,1,0
GA,100,2,1,0,0.5,0.5,2,0,1,1
GA,101,1,1,0,1,0,1,0,1,0
GA,102,1,1,0,0,1,1,0,0,1
GA,103,1,0,1,0,1,0,1,0,1
GA,105,1,0,1,1,0,0,1,1,0
GA,107,1,0,1,0,1,0,1,0,1
GA,108,1,0,1,1,0,0,1,1,0
GA,110,1,1,0,0,1,1,0,0,1
GA,111,1,1,0,0,1,1,0,0,1
GA,113,1,0,1,1,0,0,1,1,0
GA,116,1,0,1,1,0,0,1,1,0
GA,117,1,1,0,1,0,1,0,1,0
GA,118,1,0,1,1,0,0,1,1,0
GA,120,1,1,0,0,1,1,0,0,1
GA,121,2,1,0,0.5,0.5,2,0,1,1
GA,123,1,1,0,1,0,1,0,1,0
GA,124,2,0.5,0.5,0.5,0.5,1,1,1,1
GA,125,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,1,2
GA,126,2,0,1,0,1,0,2,0,2
GA,128,1,0,1,1,0,0,1,1,0
GA,129,1,1,0,0,1,1,0,0,1
GA,131,6,1,0,0.16666666666666666,0.8333333333333334,6,0,1,5
GA,134,1,0,1,0,1,0,1,0,1
GA,136,2,0.5,0.5,0,1,1,1,0,2
GA,137,2,0.5,0.5,0,1,1,1,0,2
GA,139,5,1,0,0.2,0.8,5,0,1,4
GA,140,1,0,1,1,0,0,1,1,0
GA,142,1,0,1,0,1,0,1,0,1
GA,143,2,0.5,0.5,1,0,1,1,2,0
GA,144,1,1,0,1,0,1,0,1,0
GA,145,6,0.5,0.5,0.3333333333333333,0.6666666666666666,3,3,2,4
GA,147,1,0,1,0,1,0,1,0,1
GA,149,2,0.5,0.5,0.5,0.5,1,1,1,1
GA,150,1,0,1,0,1,0,1,0,1
GA,153,3,0,1,0.6666666666666666,0.3333333333333333,0,3,2,1
GA,154,1,0,1,0,0,0,1,0,0
GA,158,1,1,0,1,0,1,0,1,0
GA,162,2,0.5,0.5,0.5,0.5,1,1,1,1
GA,166,1,0,1,0,1,0,1,0,1
GA,167,1,1,0,1,0,1,0,1,0
GA,168,1,0,1,0,1,0,1,0,1
GA,169,3,1,0,0.6666666666666666,0.3333333333333333,3,0,2,1
GA,170,2,0.5,0.5,0.5,0.5,1,1,1,1
GA,171,1,0,1,0,1,0,1,0,1
GA,173,1,0,1,1,0,0,1,1,0
GA,175,1,1,0,1,0,1,0,1,0
GA,177,1,1,0,0,1,1,0,0,1
GA,180,3,0.6666666666666666,0.3333333333333333,0,0.6666666666666666,2,1,0,2
MI,1,2,0,1,0.5,0.5,0,2,1,1
MI,2,3,0.6666666666666666,0.3333333333333333,0,1,2,1,0,3
MI,3,4,0.5,0.5,0,1,2,2,0,4
MI,4,2,0.5,0.5,0.5,0.5,1,1,1,1
MI,5,5,0.2,0.8,0.4,0.6,1,4,2,3
MI,6,3,0.6666666666666666,0.3333333333333333,0,1,2,1,0,3
MI,7,6,0.6666666666666666,0.3333333333333333,0.5,0.5,4,2,3,3
MI,8,4,0.5,0.5,0.25,0.75,2,2,1,3
MI,9,4,0.5,0.5,0.5,0.5,2,2,2,2
MI,10,3,0.3333333333333333,0.6666666666666666,0,1,1,2,0,3
MI,11,1,1,0,0,1,1,0,0,1
MI,12,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,13,7,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143,5,2,2,5
MI,14,2,1,0,0.5,0.5,2,0,1,1
MI,15,1,1,0,0,1,1,0,0,1
MI,16,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,2,1,2
MI,17,1,0,1,1,0,0,1,1,0
MI,18,1,1,0,0,1,1,0,0,1
MI,19,1,1,0,0,1,1,0,0,1
MI,20,2,1,0,0,1,2,0,0,2
MI,21,2,1,0,0,1,2,0,0,2
MI,22,2,0.5,0.5,0,1,1,1,0,2
MI,23,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,24,1,0,1,0,1,0,1,0,1
MI,25,6,0.16666666666666666,0.8333333333333334,0.5,0.5,1,5,3,3
MI,26,2,0.5,0.5,0,0.5,1,1,0,1
MI,27,4,0.75,0.25,0.5,0.5,3,1,2,2
MI,28,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,1,2,1
MI,29,1,0,1,0,1,0,1,0,1
