state,statehouse_district_number,nonwhite_legislator_2022,woman_legislator_2022,nonwhite_candidates_2024,women_candidates_2024,margin_of_victory,percent_nonwhite_voters,percent_women_voters
NV,1,1,0,1,0,12.36,54.66,51.57
NV,2,0,1,0,0,11.74,36.38,50.2
NV,3,1,1,0.5,0.5,12.06,51.33,49.97
NV,4,0,0,0,0.5,8.76,42.24,50.81
NV,5,1,1,0,0.3333333333333333,3.89,46.36,51.28
NV,6,1,1,0.8,0.2,50.48,72.38,48.28
NV,7,0,0,0,0.5,100,63.71,51.56
NV,8,1,0,0,1,7.16,62.66,50.85
NV,9,0,0,1,1,2.22,51.52,50.39
NV,10,1,1,0.25,0.5,29.12,59.35,47.91
NV,11,1,1,0.5,0.25,38.68,64.72,45.58
NV,12,0,0,0.5,0.5,0.88,52.16,50.27
NV,13,0,0,0,0,11,38.11,50.55
NV,14,1,1,NA,NA,100,60.62,50.34
NV,15,1,0,0.5,0.5,19.76,60.36,46.96
NV,16,1,1,0.4,0.4,7.53,58.15,48.68
NV,17,0,1,0.5,0.25,29.4,62.24,50.96
NV,18,1,1,1,0,18.98,59.38,49.5
NV,19,0,0,NA,NA,100,21.53,48.75
NV,20,0,0,0,0,17.68,56.2,48.56
NV,21,0,1,0,0.5,1.46,39.46,50.75
NV,22,0,1,NA,NA,100,32.17,51.29
NV,23,0,1,NA,NA,100,27.48,50.32
NV,24,0,1,0.3333333333333333,0.6666666666666666,28.66,41.34,50.2
NV,25,0,1,1,1,7.02,27.31,51.34
NV,26,1,0,0,0.5,21.38,22.9,49.59
NV,27,0,1,0.6666666666666666,0.6666666666666666,11.58,35.91,46.73
NV,28,1,0,NA,NA,100,61.52,51.16
NV,29,0,1,1,0.6666666666666666,4.3,39.9,50.93
NV,30,0,1,0,0,100,44.25,49.19
NV,31,0,1,0,0,25.46,24.38,49.01
NV,32,0,0,0,0,40.32,28.07,46.79
NV,33,0,0,0,0,68.2,25.57,47.11
NV,34,0,1,0.6666666666666666,0.3333333333333333,6.5,51.22,49.52
NV,35,1,1,0.5,1,8.64,47.82,49.18
NV,36,0,0,1,1,27.26,31.29,47.34
NV,37,0,1,0,0,2.62,34.33,51.04
NV,38,0,0,NA,NA,100,21.26,48.62
NV,39,0,0,0,0,42.98,18.18,48.84
NV,40,0,0,0,0.5,22.58,23.37,47.9
NV,41,1,1,1,0.5,0.72,49.48,50.24
NV,42,1,1,0.3333333333333333,0.3333333333333333,10.88,55.93,48.07
MI,1,1,0,1,0.5,63.28,69.34,50.62
MI,2,0,0,0.3333333333333333,0,9.42,30.86,51.26
MI,3,1,0,0.5,0,40.19,44.41,50.4
MI,4,1,1,0.5,0.5,100,59.31,50.86
MI,5,0,1,0.8,0.4,81.14,63.05,54.73
MI,6,0,1,0.3333333333333333,0,32.4,63.07,52.65
MI,7,1,1,0.3333333333333333,0.5,63.86,54.52,50.64
MI,8,0,0,0.5,0.25,78.32,54.05,50.48
MI,9,1,0,0.5,0.5,86,72.45,50.9
MI,10,1,0,0.6666666666666666,0,34.88,45.66,52.56
MI,11,1,1,0,0,64.62,50.98,52.65
MI,12,0,1,0,0.3333333333333333,39.34,52.18,50.88
MI,13,0,1,0.2857142857142857,0.2857142857142857,4.56,49.56,49.88
MI,14,1,0,0,0.5,18.12,61.38,51.95
MI,15,0,1,0,0,12.58,13.93,51.29
MI,16,0,1,0.6666666666666666,0.3333333333333333,51.26,64.44,50.76
MI,17,0,1,1,1,39.5,53.93,51.38
MI,18,0,0,0,0,57.86,59.11,52.21
MI,19,0,1,0,0,30.56,39.46,51.65
MI,20,0,0,0,0,6.46,24.78,50.87
MI,21,0,1,0,0,12.46,39.07,50.1
MI,22,0,0,0.5,0,5,12.03,50.98
MI,23,0,0,0,0.3333333333333333,25.55,25.68,50.48
MI,24,1,0,1,0,19.64,34.9,50.82
