state,statehouse_district_number,pct_winner,pct_runnerup,pct_margin_of_victory
NV,1,56.18,43.82,12.36
NV,2,55.87,44.13,11.74
NV,3,56.03,43.97,12.06
NV,4,54.38,45.62,8.76
NV,5,50.85,46.96,3.89
NV,6,69.91,19.43,50.48
NV,7,100,0,100
NV,8,53.58,46.42,7.16
NV,9,51.11,48.89,2.22
NV,10,64.56,35.44,29.12
NV,11,69.34,30.66,38.68
NV,12,50.44,49.56,0.88
NV,13,55.5,44.5,11
NV,14,100,0,100
NV,15,58.31,38.55,19.76
NV,16,52.22,44.69,7.53
NV,17,64.7,35.3,29.4
NV,18,59.49,40.51,18.98
NV,19,100,0,100
NV,20,58.84,41.16,17.68
NV,21,50.73,49.27,1.46
NV,22,100,0,100
NV,23,100,0,100
NV,24,64.33,35.67,28.66
NV,25,53.51,46.49,7.02
NV,26,60.69,39.31,21.38
NV,27,55.79,44.21,11.58
NV,28,100,0,100
NV,29,52.15,47.85,4.3
NV,30,100,0,100
NV,31,62.73,37.27,25.46
NV,32,70.16,29.84,40.32
NV,33,84.1,15.9,68.2
NV,34,53.25,46.75,6.5
NV,35,54.32,45.68,8.64
NV,36,63.63,36.37,27.26
NV,37,51.31,48.69,2.62
NV,38,100,0,100
NV,39,71.49,28.51,42.98
NV,40,61.29,38.71,22.58
NV,41,50.36,49.64,0.72
NV,42,55.44,44.56,10.88
MI,1,81.64,18.36,63.28
MI,2,51.82,42.4,9.42
MI,3,67.91,27.72,40.19
MI,4,100,0,100
MI,5,90.57,9.43,81.14
MI,6,66.2,33.8,32.4
MI,7,78.91,15.05,63.86
MI,8,87.53,9.21,78.32
MI,9,93,7,86
MI,10,67.44,32.56,34.88
MI,11,82.31,17.69,64.62
MI,12,69.67,30.33,39.34
MI,13,50.82,46.26,4.56
MI,14,59.06,40.94,18.12
MI,15,56.29,43.71,12.58
MI,16,73.52,22.26,51.26
MI,17,69.75,30.25,39.5
MI,18,78.93,21.07,57.86
MI,19,65.28,34.72,30.56
MI,20,53.23,46.77,6.46
MI,21,55.51,43.05,12.46
MI,22,52.5,47.5,5
MI,23,61.51,35.96,25.55
MI,24,59.82,40.18,19.64
MI,25,58.93,41.07,17.86
MI,26,65.72,34.28,31.44
MI,27,52.16,47.84,4.32
MI,28,54.36,45.64,8.72
MI,29,55.03,44.97,10.06
MI,30,64.54,35.46,29.08
MI,31,50.64,49.36,1.28
MI,32,75.08,21.56,53.52
MI,33,74.22,25.78,48.44
MI,34,64.07,35.93,28.14
MI,35,74.07,25.93,48.14
MI,36,68.35,31.65,36.7
MI,37,64.89,35.11,29.78
MI,38,53.15,46.85,6.3
MI,39,63.09,36.91,26.18
MI,40,57.45,42.55,14.9
MI,41,75.64,21.92,53.72
MI,42,57.46,42.54,14.92
MI,43,72.07,27.93,44.14
MI,44,50.09,49.91,0.18
MI,45,69.59,30.41,39.18
MI,46,52.07,47.93,4.14
MI,47,60.13,38,22.13
MI,48,51.5,47.07,4.43
MI,49,58.86,41.14,17.72
MI,50,67.64,32.36,35.28
MI,51,59.52,40.48,19.04
MI,52,62.03,37.97,24.06
MI,53,65.85,34.15,31.7
MI,54,52.41,47.59,4.82
MI,55,53.73,46.27,7.46
MI,56,57.19,42.81,14.38
MI,57,57.24,42.76,14.48
MI,58,53.19,46.81,6.38
MI,59,68.58,31.42,37.16
MI,60,62.17,37.83,24.34
MI,61,50.72,49.28,1.44
MI,62,55.99,44.01,11.98
MI,63,67.7,32.3,35.4
MI,64,61.04,38.96,22.08
MI,65,74.27,25.73,48.54
MI,66,68.04,31.96,36.08
MI,67,63.83,36.17,27.66
MI,68,54.49,45.51,8.98
MI,69,56.25,43.75,12.5
MI,70,79.35,20.12,59.23
MI,71,62.63,37.37,25.26
MI,72,60.8,39.2,21.6
MI,73,54.78,45.22,9.56
MI,74,64.25,35.75,28.5
MI,75,59.11,40.89,18.22
MI,76,52.1,47.9,4.2
MI,77,60.2,39.8,20.4
MI,78,68.59,31.41,37.18
MI,79,66.21,33.79,32.42
MI,80,57.14,42.86,14.28
MI,81,55.71,44.29,11.42
MI,82,75.07,24.93,50.14
MI,83,53.12,46.88,6.24
MI,84,55.06,44.94,10.12
MI,85,70.39,29.61,40.78
MI,86,56.1,43.9,12.2
MI,87,59.33,37.85,21.48
MI,88,56.97,43.03,13.94
MI,89,69.31,30.69,38.62
MI,90,63.52,36.48,27.04
MI,91,71.45,28.55,42.9
MI,92,57.52,42.48,15.04
MI,93,68.97,31.03,37.94
MI,94,68.87,31.13,37.74
MI,95,64.29,35.71,28.58
MI,96,60.33,39.67,20.66
MI,97,70.36,29.64,40.72
MI,98,74.02,25.98,48.04
MI,99,71.09,28.91,42.18
MI,100,69.29,30.71,38.58
MI,101,70.44,29.56,40.88
MI,102,63.79,36.21,27.58
MI,103,52.09,47.91,4.18
MI,104,62.93,28.54,34.39
MI,105,71.73,28.27,43.46
MI,106,69.58,30.42,39.16
MI,107,60.67,39.33,21.34
MI,108,66.36,31.46,34.9
MI,109,51.61,48.39,3.22
MI,110,63.07,36.93,26.14
GA,1,80.34,19.66,60.68
GA,2,100,0,100
GA,3,100,0,100
GA,4,100,0,100
GA,5,100,0,100
GA,6,85.3,14.7,70.6
GA,7,100,0,100
GA,8,84.83,15.17,69.66
GA,9,100,0,100
GA,10,82.94,17.06,65.88
GA,11,82.78,17.22,65.56
GA,12,81.69,18.31,63.38
GA,13,69.73,30.27,39.46
GA,14,100,0,100
GA,15,100,0,100
GA,16,100,0,100
GA,17,100,0,100
GA,18,100,0,100
GA,19,57.31,42.69,14.62
GA,20,100,0,100
GA,21,74.98,25.02,49.96
GA,22,60.55,39.45,21.1
GA,23,100,0,100
GA,24,67.48,32.52,34.96
GA,25,61.01,38.99,22.02
GA,26,70.77,29.23,41.54
GA,27,100,0,100
GA,28,78.29,21.71,56.58
GA,29,100,0,100
GA,30,73,27,46
GA,31,100,0,100
GA,32,100,0,100
GA,33,100,0,100
GA,34,57.65,42.35,15.3
GA,35,60.79,39.21,21.58
GA,36,100,0,100
GA,37,55.71,44.29,11.42
GA,38,100,0,100
GA,39,100,0,100
GA,40,59.35,40.65,18.7
GA,41,70.02,29.98,40.04
GA,42,63.31,36.69,26.62
GA,43,100,0,100
GA,44,56.87,43.13,13.74
GA,45,57.46,42.54,14.92
GA,46,58.88,41.12,17.76
GA,47,61.58,38.42,23.16
GA,48,54.87,45.13,9.74
GA,49,59.5,40.5,19
GA,50,55.35,44.65,10.7
GA,51,58.06,41.94,16.12
GA,52,61.65,38.35,23.3
GA,53,51.92,48.08,3.84
GA,54,59.67,40.33,19.34
GA,55,77.86,22.14,55.72
GA,56,83.78,16.22,67.56
GA,57,78.87,21.13,57.74
GA,58,100,0,100
GA,59,90.81,9.19,81.62
GA,60,71.58,28.42,43.16
GA,61,100,0,100
GA,62,100,0,100
GA,63,100,0,100
GA,64,69.23,30.77,38.46
GA,65,100,0,100
GA,66,100,0,100
GA,67,66.49,33.51,32.98
GA,68,100,0,100
GA,69,100,0,100
GA,70,63.38,36.62,26.76
GA,71,66.95,33.05,33.9
GA,72,75.49,24.51,50.98
GA,73,66.88,33.12,33.76
GA,74,100,0,100
GA,75,100,0,100
GA,76,100,0,100
GA,77,100,0,100
GA,78,100,0,100
GA,79,100,0,100
GA,80,59.61,40.39,19.22
GA,81,57.01,42.99,14.02
GA,82,62.95,37.05,25.9
GA,83,63.12,36.88,26.24
GA,84,100,0,100
GA,85,100,0,100
GA,86,79.99,20.01,59.98
GA,87,100,0,100
GA,88,80.14,19.86,60.28
GA,89,100,0,100
GA,90,100,0,100
GA,91,100,0,100
GA,92,100,0,100
GA,93,100,0,100
GA,94,100,0,100
GA,95,100,0,100
GA,96,100,0,100
GA,97,58.84,41.16,17.68
GA,98,100,0,100
GA,99,51.07,48.93,2.14
GA,100,62.38,37.62,24.76
GA,101,72.12,27.88,44.24
GA,102,65.88,34.12,31.76
GA,103,60.55,39.45,21.1
GA,104,100,0,100
GA,105,50.13,49.87,0.26
GA,106,100,0,100
GA,107,60.4,39.6,20.8
GA,108,53.86,46.14,7.72
GA,109,100,0,100
GA,110,65.3,34.7,30.6
GA,111,61.54,38.46,23.08
GA,112,100,0,100
GA,113,100,0,100
GA,114,100,0,100
GA,115,100,0,100
GA,116,81.63,18.37,63.26
GA,117,100,0,100
GA,118,66.78,33.22,33.56
GA,119,100,0,100
GA,120,61.29,38.71,22.58
GA,121,61.13,38.87,22.26
GA,122,100,0,100
GA,123,73.22,26.78,46.44
GA,124,65.74,34.26,31.48
GA,125,64.5,35.5,29
GA,126,57.92,42.08,15.84
GA,127,100,0,100
GA,128,50.09,49.91,0.18
GA,129,100,0,100
GA,130,100,0,100
GA,131,65.06,34.94,30.12
GA,132,100,0,100
GA,133,100,0,100
GA,134,100,0,100
GA,135,100,0,100
GA,136,68.45,31.55,36.9
GA,137,59.68,40.32,19.36
GA,138,100,0,100
GA,139,64.13,35.87,28.26
GA,140,100,0,100
GA,141,100,0,100
GA,142,60.53,39.47,21.06
GA,143,61.9,38.1,23.8
GA,144,74.46,25.54,48.92
GA,145,50.5,49.5,1
GA,146,100,0,100
GA,147,56.92,43.08,13.84
GA,148,100,0,100
GA,149,54,46,8
GA,150,53.24,46.76,6.48
GA,151,100,0,100
GA,152,100,0,100
GA,153,67.09,32.91,34.18
GA,154,100,0,100
GA,155,100,0,100
GA,156,100,0,100
GA,157,100,0,100
GA,158,72.89,27.11,45.78
GA,159,100,0,100
GA,160,100,0,100
GA,161,100,0,100
GA,162,66.2,33.8,32.4
GA,163,100,0,100
GA,164,100,0,100
GA,165,100,0,100
GA,166,71.66,28.34,43.32
GA,167,70.57,29.43,41.14
GA,168,100,0,100
GA,169,74.75,25.25,49.5
GA,170,100,0,100
GA,171,100,0,100
GA,172,100,0,100
GA,173,65.47,34.53,30.94
GA,174,100,0,100
GA,175,71.95,28.05,43.9
GA,176,100,0,100
GA,177,62.11,37.89,24.22
GA,178,100,0,100
GA,179,100,0,100
GA,180,69.35,30.65,38.7
