"GEOID","NAME","total_pop","white","male","female","pct_white","pct_nonwhite","pct_male","pct_female","state","statehouse_district_number"
"13001","State House District 1 (2022), Georgia",57003,51575,28444,28559,90.48,9.52,49.9,50.1,"GA",1
"13002","State House District 2 (2022), Georgia",65029,58617,32065,32964,90.14,9.86,49.31,50.69,"GA",2
"13003","State House District 3 (2022), Georgia",59728,53155,29179,30549,89,11,48.85,51.15,"GA",3
"13004","State House District 4 (2022), Georgia",58779,41589,29631,29148,70.75,29.25,50.41,49.59,"GA",4
"13005","State House District 5 (2022), Georgia",59008,48225,29168,29840,81.73,18.27,49.43,50.57,"GA",5
"13006","State House District 6 (2022), Georgia",58387,53069,29252,29135,90.89,9.11,50.1,49.9,"GA",6
"13007","State House District 7 (2022), Georgia",59162,54471,29281,29881,92.07,7.93,49.49,50.51,"GA",7
"13008","State House District 8 (2022), Georgia",59635,55176,29124,30511,92.52,7.48,48.84,51.16,"GA",8
"13009","State House District 9 (2022), Georgia",60302,55081,30187,30115,91.34,8.66,50.06,49.94,"GA",9
"13010","State House District 10 (2022), Georgia",59936,50191,28669,31267,83.74,16.26,47.83,52.17,"GA",10
"13011","State House District 11 (2022), Georgia",62988,57323,32464,30524,91.01,8.99,51.54,48.46,"GA",11
"13012","State House District 12 (2022), Georgia",58949,48801,29873,29076,82.79,17.21,50.68,49.32,"GA",12
"13013","State House District 13 (2022), Georgia",59797,40565,29039,30758,67.84,32.16,48.56,51.44,"GA",13
"13014","State House District 14 (2022), Georgia",57851,48640,28736,29115,84.08,15.92,49.67,50.33,"GA",14
"13015","State House District 15 (2022), Georgia",61050,47312,30343,30707,77.5,22.5,49.7,50.3,"GA",15
"13016","State House District 16 (2022), Georgia",60255,48281,30064,30191,80.13,19.87,49.89,50.11,"GA",16
"13017","State House District 17 (2022), Georgia",58840,40094,28640,30200,68.14,31.86,48.67,51.33,"GA",17
"13018","State House District 18 (2022), Georgia",58945,51634,28949,29996,87.6,12.4,49.11,50.89,"GA",18
"13019","State House District 19 (2022), Georgia",61088,41053,29845,31243,67.2,32.8,48.86,51.14,"GA",19
"13020","State House District 20 (2022), Georgia",62459,48485,30083,32376,77.63,22.37,48.16,51.84,"GA",20
"13021","State House District 21 (2022), Georgia",57964,51381,28701,29263,88.64,11.36,49.52,50.48,"GA",21
