state,statehouse_district_number,full_name,first_name,middle_name,last_name,suffix,party_code,notes
NV,1,Daniele Monroe-Moreno,Daniele,,Monroe-Moreno,,200,
NV,2,Heidi Kasama,Heidi,,Kasama,,100,
NV,3,Selena Torres,Selena,,Torres,,200,
NV,4,Richard McArthur,Richard,,McArthur,,100,
NV,5,Brittney Miller,Brittney,,Miller,,200,
NV,6,Shondra Summers-Armstrong,Shondra,,Summers-Armstrong,,200,
NV,7,Cameron Miller,Cameron,,Miller,,200,
NV,8,Duy Nguyen,Duy,,Nguyen,,200,
NV,9,Steve Yeager,Steve,,Yeager,,200,
NV,10,Rochelle Nguyen,Rochelle,,Nguyen,,200,"resigned on December 21, 2022"
NV,11,Bea Duran,Bea,,Duran,,200,
NV,12,Max Carter,Max,,Carter,,200,
NV,13,Brian Hibbetts,Brian,,Hibbetts,,100,
NV,14,Erica Mosca,Erica,,Mosca,,200,
NV,15,Howard Watts,Howard,,Watts,,200,
NV,16,Cecelia González,Cecelia,,González,,200,
NV,17,Clara (Claire) Thomas,Clara,(Claire),Thomas,,200,
NV,18,Venicia Considine,Venicia,,Considine,,200,
NV,19,Toby Yurek,Toby,,Yurek,,100,
NV,20,David Orentlicher,David,,Orentlicher,,200,
NV,21,Elaine Marzola,Elaine,,Marzola,,200,
NV,22,Melissa Hardy,Melissa,,Hardy,,100,
NV,23,Danielle Gallant,Danielle,,Gallant,,100,
NV,24,Sarah Peters,Sarah,,Peters,,200,
NV,25,Selena La Rue Hatch,Selena,La Rue,Hatch,,200,
NV,26,Rich DeLong,Rich,,DeLong,,100,
NV,27,Angie Taylor,Angie,,Taylor,,200,
NV,28,Reuben D'Silva,Reuben,,D'Silva,,200,
NV,29,Lesley E Cohen,Lesley,E,Cohen,,200,
NV,30,Natha Anderson,Natha,,Anderson,,200,
NV,31,Jill Dickman,Jill,,Dickman,,100,
NV,32,Alexis Hansen,Alexis,,Hansen,,100,
NV,33,Bert Gurr,Bert,,Gurr,,100,
NV,34,Shannon Bilbray-Aexlrod,Shannon,,Bilbray-Aexlrod,,200,
NV,35,Michelle Gorelow,Michelle,,Gorelow,,200,
NV,36,Gregory Hafen,Gregory,,Hafen,,100,
NV,37,Shea Backus,Shea,,Backus,,200,
NV,38,Gregory Koenig,Gregory,,Koenig,,100,
NV,39,Ken Gray,Ken,,Gray,,100,
NV,40,Philip O'Neill,Philip,,O'Neill,,100,
NV,41,Sandra Jauregui,Sandra,,Jauregui,,200,
NV,42,Tracy Brown-May,Tracy,,Brown-May,,200,
MI ,1,Tyrone Carter,Tyrone,,Carter,,200,
MI ,2,Tullio Liberati Jr.,Tullio,,Liberati,Jr.,200,
